payer,receiver,amount
239763,1000513,32717.01
3537,915222,62066.99
276292,1398415,70863.93
208449,946075,29120.49
98664,1330598,37825.08
370506,1095074,72501.44
16816,943097,83704.96
462552,1422949,32316.5
21430,180086,66476.98
224583,152625,30064.73
203197,633675,26931.98
253002,946283,30616.5
511372,924867,39364.98
114453,1034573,27329.49
91254,118074,81222.88
171833,206541,65911.98
116570,67565,75045.38
190417,304610,33930.04
194625,1211834,24412.08
143223,1077587,39290.41
635757,255177,32641.37
64412,47672,29716.83
133383,1001173,20411.28
2828,1449312,56458.78
66970,148026,87609.28
254678,1263896,35551.74
256322,1014692,14150.59
303255,1317274,29506.7
138412,5230,32043.11
13370,73420,34251.71
253114,249684,25701.57
289780,1022431,23489.91
83582,67565,28599.57
49685,812627,28454.3
21430,90560,90720.64
390333,81281,102101.25
114381,1088869,28810.47
219066,1077408,34632.28
11248,1117582,30761.43
204011,1308141,70655.55
775645,107399,91077.7
248095,1239207,61415.15
635757,1149019,30762.13
514726,1076567,28771.58
83840,1404553,34922.09
55471,1070217,35468.24
677311,455508,32512.42
55405,1069397,35918.32
19321,1098598,92402.41
129645,182199,26963.75
62917,32714,32003.8
248095,1026985,23464.79
40955,1222188,61741.67
229766,131135,77417.84
511375,154765,34521.6
200713,967441,74003.93
143654,1212414,97392.45
350526,1207082,68746.23
53574,1120188,30732.85
128568,1118003,21363.93
470148,791022,34616.95
438595,511574,51984.84
159996,1018301,30408.97
220436,1274988,89336.17
211892,1294265,25135.96
61062,9419,25504.49
237057,1014349,30843.52
5846,864255,64238.83
236353,9419,29651.3
187067,1405938,28492.68
376510,952604,27465.62
168383,1027095,28396.88
222336,1326922,32063.96
61062,1522731,44335.31
212414,1543382,30010.3
169404,85655,30050.5
80321,201254,28200.12
136196,1311633,30847.26
283492,708896,67285.33
236326,329503,84376.71
725576,996681,30187.1
93598,1234412,32073.02
484212,987561,30765.66
903750,1090807,58570.97
106946,1420043,33969.84
38601,1026588,42448.85
688692,956702,49301.63
492226,583885,48933.59
88189,171833,21282.21
527662,161704,36974.64
261475,958039,30743.09
208355,1158067,28524.29
149731,1010064,33976.86
213976,1285494,33321.37
395676,95114,50933.84
65388,235015,33818.64
74803,356737,29405.16
228393,1191443,55390.33
231824,1094562,30018.15
